Index,Sum,Mult
2,4,8
3,8,16
4,8,16
5,12,24
6,12,24
7,16,32
8,12,24
9,16,32
10,16,32
11,20,40
12,16,32
13,20,40
14,20,40
15,24,48
16,16,32
17,20,40
18,20,40
19,24,48
20,20,40
21,24,48
22,24,48
23,28,56
24,20,40
25,24,48
26,24,48
27,28,56
28,24,48
29,28,56
30,28,56
31,32,64
32,20,40
33,24,48
34,24,48
35,28,56
36,24,48
37,28,56
38,28,56
39,32,64
40,24,48
41,28,56
42,28,56
43,32,64
44,28,56
45,32,64
46,32,64
47,36,72
48,24,48
49,28,56
50,28,56
51,32,64
52,28,56
53,32,64
54,32,64
55,36,72
56,28,56
57,32,64
58,32,64
59,36,72
60,32,64
61,36,72
62,36,72
63,40,80
64,24,48
